code,description/en,License,access/availableOnline,access/exampleIdentifiers,access/guidanceOnLocatingIds,access/languages,access/onlineAccessDetails,access/publicDatabase,confirmed,coverage,data/availability,data/dataAccessDetails,data/features,data/licenseDetails,data/licenseStatus,deprecated,formerPrefixes,links/opencorporates,links/wikipedia,listType,meta/lastUpdated,meta/source,name/en,name/local,quality,quality_explained/Availability: API,quality_explained/Availability: Bulk download,quality_explained/Availability: CSV format,quality_explained/Availability: Excel format,quality_explained/Availability: JSON format,quality_explained/Availability: PDF format,quality_explained/Availability: RDF format,quality_explained/Availability: XML format,quality_explained/License: Closed License,quality_explained/License: No License,quality_explained/License: Open License,quality_explained/List type: Local,quality_explained/List type: Primary,quality_explained/List type: Secondary,quality_explained/List type: Third Party,registerType,sector,structure,subnationalCoverage,url
GB-MPR,"The Mutuals Public Register is the public record of registered mutual societies:

* building societies
* credit unions
* friendly societies
* registered societies

It contains:

* details of societies’ registered offices and contact information
the services they offer
* public documents such as yearly returns and accounts",,True,"235C, IP031455",Search for an organisation through the interface. Their registration number is returned as part of the results.,,"It is possible to search the register online, documents that have been digitised are freely available. It is also possible to bulk download data although this does not include the organisation's unique identifier on the register.",https://mutuals.fca.org.uk/,True,GB,bulk,,registered_address,Copyright information on the site places restrictions on re-use.,closed_license,False,,http://opencorporates.com/companies/gb,,primary,,,Mutuals Public Register,,77,,2,,,,,,,0,,,,75,,,,,"company/mutual, company",,https://mutuals.fsa.gov.uk/
JE-JCR,"The Jersey Charity Register register contains key information about each registered charity and, with some limited exceptions, is fully open to public inspection so that people can if they wish understand more about the purposes, finances and public benefit delivery of the charities registered in Jersey.",,True,"345, 69, 120","Using the website link go to the Public Register webpage. The identifier is the ""Jersey Charity Number"" column in the table. Further details are available by clicking through to the pages for each organization.",EN,,https://portal.charitycommissioner.je/Public-Register/,True,JE,,"Although there is no means of accessing records as structured data, it is possible to browse the data fields across multiple web pages.","directors_trustees_governors, registered_address, website, date_of_registration, registration_number, objectives_purpose, status",,no_license,False,,,,primary,2020-05-19,Original Research,Jersey Charity Register,,80,,,,,,,,,,5,,,75,,,,,"charity, company/limited_company, unincorporated_body, trust, company",,https://charitycommissioner.je/
HR-OIB,Maintained by the Ministry of Justice of the Republic of Croatia.,,True,82229652860,,hr,"Company can be searched by MBS, OIB number or legal name. Search results provide MBS and OIB numbers, registration court, company name, status, company name current status, and address. There is no English interface, search is free-of-charge.",,True,HR,,,,,,False,,,,secondary,,,Croatia Court Register,Sudski Registar,50,,,,,,,,,,,,,,50,,,,company,,https://sudreg.pravosudje.hr/registar/f?p=150:1
TZ-TRA,"""The Tanzania Revenue Authority (TRA) was established by Act of Parliament No. 11 of 1995, and started its operations on 1st July 1996.  In carrying out its statutory functions, TRA is regulated by law, and is responsible for administering impartially various taxes of the Central Government.""[1]

The Tanzanian Revenue Authority provides Taxpayer Identification Numbers (TIN) for organisations registered in Tanzania. This is issued under section 3A(4) of the Income Tax Act no. 33 of 1973. As amended by the financial laws (miscellaneous amendments) 2000.

There is no searchable database for TIN. It's possible that a company with a TIN could be on the Tanzanian Business Registrations and Licensing Agency (BRELA) Online Registration System, which can be searched free of charge. It is worth checking list TZ-BRLA before deciding to use this list.

[1]: https://www.tra.go.tz/index.php/about-tra/corporate-news
 
",,False, 101091759,Use Taxpayer Identifiers Numbers (TINs) without any hyphens or spaces.,en,"TINs are not accessible online. Please use a known TIN, or check the list TZ-BRLA as an alternative.",,True,TZ,data_not_available,,,,,False,,,,secondary,2018-03-19,https://github.com/org-id/register/issues/198,Tanzania Revenue Agency,,50,,,,,,,,,,,,,,50,,,,,,https://www.tra.go.tz/index.php
FR-INSEE,"The National Institute of Statistics and Economic Studies provide a registration service for companies and associations with details being held on the SIRENE database.

Information from INSEE is also contained in the RCS dataset, and so this organisation list is deprecated in favour of FR-RCS. ",,False,,,,,,True,FR,,,,,,True,,,,deprecated,,,The National Institute of Statistics and Economic Studies , Institute National de la Statistique et des etudes economiques,0,,,,,,,,,,,,,,,,,,,,http://www.insee.fr/fr/service/default.asp?page=entreprises/entreprise.htm
ID-KDN,"The Ministry of Home Affairs conducts a series of tasks in relation to legal practice and administration within Indonesia. However, no link has been found between the Ministry of Home Affairs and NGO/company registration. 

As a result, this code has been deprecated. 

Users can refer to ID-KLN (Ministry of Foreign Affairs) and ID-PRO for the registration of NGOs.

Users can refer to ID-SMR (SMERU) for an independent body that maintains a database of NGOs.

""The Ministry of Home Affairs has the task of conducting government affairs in the country to assist the President in running the state government. 

The Ministry of Interior has the functions:

1. formulation, determination and implementation of policies in the field of politics and public governance, decentralization, development of the regional administration, coaching village government, formation of government affairs and regional development, development of local finance, as well as the population and civil registration, in accordance with the provisions of the legislation;
2. coordinating the implementation of tasks, coaching, and providing administrative support to all elements of the organization within the Ministry of the Interior;
3. management of property / wealth of the country is the responsibility of the Ministry of the Interior;
4. supervise the execution of duties in the Ministry of the Interior;
5. implementation of the technical guidance and supervision over the implementation of the affairs of the Interior Ministry in the area;
6. coordinating, coaching and general supervision, facilitation, and evaluation of the regional administration in accordance with the provisions of the legislation;
7. implementation of research and development in the field of governance in the country;
8. implementation of human resource development in the field of governance in the country;
9. implementation of the technical activities of the center to the regions; and
10. the implementation of a substantial support to all elements of the organization within the Ministry of Interior."" [1]

[1] http://www.kemendagri.go.id/profil/tugas-dan-fungsi 

NGO registration can also be done through Ministry Home affairs/ Kementerian Dalam Negeri",,False,,None available,id,,None available,True,ID,data_not_available,,,,no_license,True,,,,deprecated,2016-12-28,Desk research,Ministry of Home Affairs , Kementerian Dalam Negeri,5,,,,,,,,,,5,,,,,,,,,,http://www.kemendagri.go.id/
PL-NIP,"The Tax Identification Number (NIP) is used for tax purposes and can be assigned to any organization: companies including sole proprietorships, non-profits, government agencies.

NIP is assigned to organizations in process of their registration.

Till 2011 NIP number was also assigned to natural people (tax payers).",,True,1231216692,"To validate a known identifier:

1. Type in organization's NIP in the NIP field
2. Start by clicking ""Szukaj""
3. Click on the first column (REGON number) to get details and the NIP code. 

To search for the identifier or an organisation by their address, select 'Address' and use the drill-down menus to narrow down the search. You must select options down to the lowest geographic level. 

NIP number consists of 10 digits, the last one is a check digit. For convenience the digits may be separated by non-significant hyphens (xxx-xxx-xx-xx or xxx-xx-xx-xxx for legal persons).
",PL,"A search service is available which allows validation of known identifiers, or search for identifiers by the registered address of the organisation. ",https://wyszukiwarkaregon.stat.gov.pl/appBIR/index.aspx,True,PL,api,"There is no dedicated NIP registry website online, but NIP registry is searchable via REGON registry on https://wyszukiwarkaregon.stat.gov.pl/appBIR/index.aspx. 

There is an API available also: http://bip.stat.gov.pl/dzialalnosc-statystyki-publicznej/rejestr-regon/interfejsyapi/informacje-ogolne/","registered_address, industry_classifications, date_of_registration, registration_number, phone_number, tax_id_number, status",Non-profits and companies has been reusing this data for several years now as if it was under an open license. ,no_license,False,,,https://pl.wikipedia.org/wiki/NIP,secondary,2017-07-08,Research done by ePanstwo Foundation epf.org.pl/en,Tax Identification Number (Poland),Numer Identyfikacji Podatkowej,57,2,,,,,,,,,5,,,,50,,,,"charity, company, government_agency",,https://pl.wikipedia.org/wiki/NIP
AE-DIFC,"This register includes information on companies' name, registration number, activity, phone number, address, etc.",,False,,,,,,True,AE,,,,,,False,,,,primary,2017-11-16,ProZorro Business Register Research,Dubai International Financial Centre,مركز دبي المالي العالمي,75,,,,,,,,,,,,,75,,,,,company,AE-DU,https://www.difc.ae/public-register
BJ-IFU,"The Benin 'Unique Fiscal Identifier' was created by Decree No 2006-201 of 8 May 2006, and is linked to a national directory of persons, institutions and associations.

""The IFU's main objective is:

* To uniquely register natural or legal persons throughout the national territory;
* To avoid assigning several identifiers (INSAE number, taxpayer number, declaring code, etc.) to the same person;
* Consolidate and secure information about any identified person;
* To establish a reliable database for information, cross-checking and management purposes;
* Improve and modernize the management of public finances with the introduction of a development tax system;""[1]

Identifiers are assigned to: ""

* Enterprises engaged in commercial or non-commercial activity in the territory of Benin, regardless of their form, legal status or nationality;
* Employees in the public or private sector;
* Corporate officers;
* Embassies, international organizations and non-governmental organizations;
* Landowners;
* Individuals over eighteen (18) years of age engaged in self-employed or non-commercial activities;
* Central government, public institutions and local authorities;
* Trade unions and political parties, any natural or legal person governed by private law""[1].

An IFU is 13 characters long. The first digit indicate the type of entity identified:

* 1- Individual / male 
* 2- Individual / female 
* 3- Legal entity / company 
* 4- Legal person / state structure 
* 5- Legal person / international organization and mission diplomatic 
* 6- Legal person / non-governmental organization

The subsequent 4 digits give the year. 

The next six digits are a unique identifier within that year.

The next digit indicates either (1) a parent company; (2-9) subsidiary or agencies; (0) other types of person or taxpayer.

The final digit is a checksum.


[1]: http://www.impots.finances.gouv.bj/tout-savoir-sur-lifu/



EXAMPLE: 3200901353510, ",,False,3200901353510,,fr,No online source for the register of assigned identifiers could be found. Sometimes searching for an organisation + 'IFU' can locate documents containing their IFU. ,,True,BJ,data_not_available,,,,no_license,False,,,,primary,2017-04-03,Primary research,Unique Tax Identifier,L’identifiant Fiscal Unique,80,,,,,,,,,,5,,,75,,,,,"company, government_agency",,http://www.impots.finances.gouv.bj/tout-savoir-sur-lifu/
ZA-CIP,"The Companies and Intellectual Property Commission (CIPC) is responsible for company registration in South Africa. There is a basic free database search, or users can subscribe to the CIPC website.

""Functions of the Commission

Registration of Companies, Co-operatives and Intellectual Property Rights (trade marks, patents, designs and copyright) and maintenance thereof
Disclosure of Information on its business registers"" [1] 

[1] http://www.cipc.co.za/index.php/about/our-functions/",,False,"6713-713839-07, 2007-031592-07 , 1994-010680-07","Users can search for identifiers using the Cipro name. Identifiers will be under the Column header 'Enterprise number'.

Users should note that this is a very basic search function, and current research finds that only Search Option 1 works, thus users must have the exact name of the corporate entity to find an identifier number. The resulting data is very basic.

Users can also search the OpenCorporates database.",en,,"http://www.cipro.co.za/products_services/name_search.asp, https://eservices.cipc.co.za/ , https://opencorporates.com/companies/za?page=1",True,ZA,html,"Data available is very basic, and searches can only be completed when the exact name of the corporate entity is known","organisation_name, registration_number",https://opencorporates.com/registers/237,closed_license,,,http://opencorporates.com/companies/za,,primary,2016-12-21,Desk research,Companies and Intellectual Property Commission (CIPC),,75,,,,,,,,,0,,,,75,,,,,company,,http://www.cipro.gov.za/
AE-FCCI,"There is no company information available directly from this registry, but Chamber of Commerce and Industry can be contacted via the form on the website, phone or email to request more information.",,False,,,,,,True,AE,,,,,,False,,,,primary,2017-11-16,ProZorro Business Register Research,Fujairah Chamber of Commerce and Industry,غرفة تجارة وصناعة الفجيرة,75,,,,,,,,,,,,,75,,,,,company,AE-FU,http://www.fujcci.ae/
CA-CRA_ACR,"Companies in Canada register with their provincial authority, e.g. British Columbia, and then they register with the Canadian Revenue Agency in order to pay corporate income tax and receive a Business Number.

The code CA-CRA_ACR is used for Canadian Business Numbers. 

Non-profits and other kinds of legal entities may also have a Canadian Business Number. 

The business number is sometimes reported with a Program Account code (e.g. RP0001 to indicate a payroll program account, leading a number such as 123456789RP0001). In constructing an organisation identifier, only the first nine digits should be used. 

Companies can be searched by using the Business Number, as assigned by the CRA, on this incomplete registry hosted by the Canadian govt - https://www.ic.gc.ca/app/scr/cc/CorporationsCanada/fdrlCrpSrch.html?locale=en_CA

## More detail:

Not all companies need a Canadian Business Number. Detailed information can be found here - http://www.cra-arc.gc.ca/tx/bsnss/tpcs/bn-ne/wrks-eng.html

Not all charities need to register with the Canadian Revenue Agency. Detailed information can be found here - http://www.cra-arc.gc.ca/chrts-gvng/chrts/pplyng/rgstrtn/mnd-eng.html

Not all non-profit organisations must register to become a charity. Detailed information can be found here - http://www.cra-arc.gc.ca/chrts-gvng/dnrs/rgltn/dffrnc-rc-np-eng.html

""Your Business Number is a nine-digit account number that identifies your business to federal, provincial, and municipal governments.""[1]

[1] http://www.canadabusiness.ca/programs/business-number-bn-1/",,False,"101182509, 820336113","Users can find identifiers by using the simple, searchable database which is hosted by the Canadian Government, on a website separate to the Canadian Revenue Agency. Two identifiers are returned: the Corporate Number and the Business Number. The identifiers will be next to these names, respectively. For CA-CRA_ACR the business number should be used.

The business number is sometimes reported with a Program Account code (e.g. RP0001 to indicate a payroll program account, leading a number such as 123456789RP0001). In constructing an organisation identifier, only the first nine digits should be used. ","en, fr",Data is available on a website separate to the CRA. The database is incomplete,https://www.ic.gc.ca/app/scr/cc/CorporationsCanada/fdrlCrpSrch.html?locale=en_CA,True,CA,html,,"registered_address, registration_number, organisation_name, status, directors_trustees_governors, accounts, business_id_history",http://index.okfn.org/place/canada/companies/,closed_license,,,http://opencorporates.com/companies/ca,,secondary,2016-12-14,Desk research,Canadian Revenue Agency , Agence du revenu du Canada,50,,,,,,,,,0,,,,,50,,,,"company, charity",,http://www.cra-arc.gc.ca/
AZ-IVI,Available only in Azerbaijani,,True,"990001490, 3100073821",10-digit TIN (aka company registration number) is under 'VÖEN' header,az,"Company can be searched by VÖEN or legal name. 

Name searches return a list of possible company name matches and their VÖEN codes.

If searching by the VOEN more information will be provided: name of commercial organization, taxpayer's name, organizational-legal form, legal address, charter capital, fiscal year, legal representative, registration date. 

No English interface.",https://www.e-taxes.gov.az/ebyn/commersialChecker.jsp,True,AZ,data_not_available,,,,,False,,,,primary,2017-11-08,ProZorro Business Register Research,State Register of Commercial Entities (Ministry of Taxes of Azerbaijan Republic),Kommersiya qurumlarının dövlət reyestri,75,,,,,,,,,,,,,75,,,,,company,,https://www.e-taxes.gov.az/ebyn/commersialChecker.jsp
GB-CHC,"There are four main types of charity structure in the UK: 

(1) Charitable incorporated organisation (CIO) 
(2) charitable company (limited by guarantee) 
(3) unincorporated association 
(4) trust


",,True,"279417, 1090095,  1173575",,en,,https://www.gov.uk/government/organisations/charity-commission,True,GB,bulk,Bulk download available at http://data.charitycommission.gov.uk/,registered_address,Open Government Licence v2.0,open_license,False,,,,primary,2016-09-17,,Charity Commission,,87,,2,,,,,,,,,10,,75,,,,,charity,"GB-WLS, GB-ENG",http://www.charity-commission.gov.uk/
PK-SEC,Companies and other forms of association in Pakistan can be registered with the Securities and Exchange Commission (SEC). ,,True,"0086650, 0081550,  0078867",Search at https://www.secp.gov.pk/company-name-search/ and look for the Incorporation Number (CUIN),en,A search of company names is provided on the Securities and Exchange Commission website. ,https://www.secp.gov.pk/company-name-search/,True,PK,data_not_available,,date_of_registration,,no_license,False,,https://opencorporates.com/companies/pk/,https://en.wikipedia.org/wiki/Securities_and_Exchange_Commission_of_Pakistan,primary,2018-05-31,User request & desk research,Securities and Exchange Commission of Pakistan,,80,,,,,,,,,,5,,,75,,,,,"company, charity",,https://www.secp.gov.pk/
EG-MOSS,The Ministry of Social Solidarity and Justice is the main registration body for associations and foundations in Egypt.,,False,"27-20, 1-10135, 1-10120","Either ask an organisation for their registration number, or use the directory on the NGO portal. The list of organisations can be filtered using a geographic filter. ",ar,"The NGO Portal provides a list of associations, along with registration dates and registration numbers. ",http://196.204.6.120/,True,EG,data_not_available,,"directors_trustees_governors, industry_classifications, date_of_registration, registration_number, status",,no_license,False,,,,primary,2017-08-05,IATI,Ministry of Social Solidarity and Justice (Egypt),,80,,,,,,,,,,5,,,75,,,,,charity,,http://www.moss.gov.eg/
EE-RIK,"The Centre of Registers and Information Systems (RIK) provides a number of services for Estonian individuals and business, in particular electronic services. These include the maintenance of the land registry database, criminal records database, company registry database and more. They also have a portal for the online registration of companies.

""COMPANY REGISTRATION PORTAL

This environment allows companies to submit electronic documents to the Business Register without using the services of a notary. The portal allows submitting applications for registering a new company, for amending the registry data, for liquidating and for deleting a company from the registry.

You can view the data related to you free-of-charge by logging in with your ID-card."" [1]

[1] http://www.rik.ee/en",,False,"11975756	, 12964097, 10483761","Users can search for a company using the E-BUSINESS REGISTER search bar on the homepage - http://www.rik.ee/en . 

Users can also download the Commercial Register as a file from this list of open datasets - http://www.rik.ee/en/open-data

The data is available as either a CSV or XML zip file, which can then be opened and searched. The file is approx. 42mb. The identifiers will be under the column header 'ariregistri_kood'","en, et",The data is also linked on the national data portal at https://opendata.riik.ee/dataset/http-avaandmed-rik-ee-andmed-ariregister,http://avaandmed.rik.ee/andmed/ARIREGISTER/,True,EE,"csv, xml, html, bulk_download",Entire Commercial Register available as CSV and XML from this page - http://avaandmed.rik.ee/andmed/ARIREGISTER/,"organisation_name, status, registered_address, date_of_registration, registration_number, website",Creative Commons BY-SA 3.0,open_license,,,,,primary,2016-11-21,Desk research,Centre of Registers and Information Systems (RIK),,87,,,1,,,,,1,,,10,,75,,,,,company,,http://www.rik.ee/en/e-business-register
GB-SCOTEDU,"Schools and other education establishments in Scotland must be registered with the Department of Education in the Scottish Government.

The Register of Schools is maintained by the Department of Education which provides a SEED code as the unique identifier for each school or other educational establishment in Scotland.

Universities are not registered through this registrar",,True,"8212627, 5520924, 5237521",Upon downloading the .xlsx file the seven digit SEED code can be found in the first column of the worksheet that lists the currently open schools and education establishments.,en,Users can download an .xlsx file at https://www2.gov.scot/Topics/Statistics/Browse/School-Education/Datasets/contactdetails,https://www2.gov.scot/Topics/Statistics/Browse/School-Education/Datasets/contactdetails,True,GB,"bulk, csv, excel",The 'School Contact List' is available at https://www2.gov.scot/Topics/Statistics/Browse/School-Education/Datasets/contactdetails and contains the SEED code as the identifier.,"date_of_registration, number_of_employees, registration_number, expiry_date, status",The web page claims Crown Copyright. There are no license details in the file.,no_license,False,,,https://en.wikipedia.org/wiki/Education_in_Scotland,primary,2019-10-06,Desk research,Register of Schools (Scotland),Scottish Government - School Contact List,84,,2,1,1,,,,,,5,,,75,,,,education,"government_agency/public_service, government_agency",GB-SCT,https://www2.gov.scot/Topics/Statistics/Browse/School-Education/Datasets/contactdetails
ID-SMR,"The SMERU Research Institute is an independent body which conducts research on social issues in Indonesia. They also maintains a database of NGOs working in Indonesia.

""The SMERU Research Institute is an independent institution for research and public policy studies. We professionally and proactively provide accurate and timely information, as well as objective analyses, on various socioeconomic and poverty issues considered most urgent and relevant for the people of Indonesia."" [1]

""SMERU manages Indonesia's most comprehensive online database of national and regional non-governmental organizations (NGOs). Currently, there are almost 3,000 NGOs in the database, which provides information on the NGOs’ name, address, contact person, vision, mission, legal form, activities, and sector."" [2]

[1] http://www.smeru.or.id/en/about
[2] http://www.smeru.or.id/en/content/ngo-database",,False,,Organisation identifiers are not provided as part of this database,"en, id","Users can search an NGO by name, province or sector. Ornop - NGO / Provinsi - Province / Sektor kegiatan - Sector activity / Kata kunci lain - Other keywords",http://www.smeru.or.id/en/content/ngo-database,True,ID,html,,"organisation_name, website, registered_address, e-mail_address, phone_number, objectives/purpose, organisation_type, activities/sector_code",,no_license,,,,,third-party,2016-11-29,Desk research,The SMERU Research Institute,,5,,,,,,,,,,5,,,,,,,,charity,,http://www.smeru.or.id/en
GH-DSW,"All NGOs wishing to operate in Ghana must first register with the General Registrar's Office, and then apply for NGO status from the Department of Social Welfare (DSW). NGOs are then issued with a certificate that contains their registration number. 

There is no database available for search.

""The Social Welfare Department is the regulator of NGOs in Ghana and is therefore mandated to issue certificates of recognition to organizations to operate as NGOs. "" [1]

[1] http://g-lishfoundation.org/wp-content/uploads/2011/02/HOW-TO-START-AN-NGO-IN-GHANA.pdf",,False,258,,en,,None available,True,GH,data_not_available,The DSW website does not refer to NGO registration,,,closed_license,False,,,,secondary,2016-12-27,Desk research,Department of Social Developments,,50,,,,,,,,,0,,,,,50,,,,charity,,http://mogcsp.gov.gh/department-of-social-developments/
RO-CUI,"The National Trade Register Office (NTRO) is a public institution with legal personality, subordinated to the Ministry of Justice, entirely financed from the state budget, whose activity is regulated by the Law no. 26/1990 on trade register, as republished and subsequently amended and supplemented.

The National Trade Register Office carries out the following activities:

* keeping the trade register;
* providing documents and information;
* archiving documents based on which the registrations in the trade register are made;
* assisting legal and natural persons subject to registration in the trade register;
* editing and publishing the Insolvency Proceedings Bulletin.",,True,,Use the 'unique registration number',"ro, en","Upon registration and payment of 8 lei, a company's details can be requested through the ONRC Portal InfoCert service https://portal.onrc.ro/ONRCPortalWeb/appmanager/myONRC/wicket?p=rc.certificateConstatatoare.[1]

Information regarding a company including the following details: 
* order number in the trade register
* company name
* legal form
* unique registration code
* registered office
* company’s status
* main activity
* share capital
* administrators, partners/shareholders
* data registered in the trade register attesting that a certain document or fact is/is not registered.

[1] Other access choices are described at https://www.onrc.ro/index.php/en/informatii-2/informatii-rc",https://portal.onrc.ro/ONRCPortalWeb/appmanager/myONRC/wicket?p=rc.certificateConstatatoare,True,RO,data_not_available,,,,no_license,False,,,,primary,2017-11-08,ProZorro Business Register Research,National Trade Register (Romania),Național al Registrului Comerțului,80,,,,,,,,,,5,,,75,,,,,company,,http://www.onrc.ro/index.php/ro/
LK-DRC,"Companies ins Sri Lanka are registered through the Department of the Registrar of Companies. 

Under the Companies Act No 7. of 2007, DRC are responsible for:

* Incorporation of Private Limited Liability Companies
* Incorporation of Public Limited Liability Companies
* Registration of Foreign Companies
* Registration of Off-Shore Companies
* Incorporation of Unlimited Companies
* Incorporation of Public Quoted Companies
* Incorporation of Guarantee Companies
* Incorporation of Associations
* Registration of Auditors and Company Secretaries

Under the Societies Ordinance No 16. of 1891 they also have responsibility for registration of societies. 
",,True,"GA139, PV82258, NPVS171, NPVS20325","Search by name, and the registration number is returned under the 'Registration No.' column.

(Note: in testing, we found some spelling mistakes in names in the register. If you cannot find an organisation by it's full name, try searching for individual words)",en,A simple search of company names and registration numbers is available through the 'EROC' online services. ,http://43.224.127.148:8080/InfoBizRegWeb/pages/public/companySearch.xhtml#!,True,LK,data_not_available,,,,no_license,False,,,,primary,2018-09-25,Desk research,Department of the Registrar of Companies (Sri Lanka),,80,,,,,,,,,,5,,,75,,,,,company,,http://www.drc.gov.lk/
MY-SSM,"The Companies Commission of Malaysia (SSM) is a statutory body formed as a result of a merger between the Registrar of Companies (ROC) and the Registrar of Businesses (ROB) in Malaysia which regulates companies and businesses. SSM came into operation on 16 April 2002.
",,True,"993856H, 255990P","Use the registration number which appears in search results.

Any special characters should be removed (e.g. '993856-H' becomes '993856H') ",ML,"You first need to register a free account on https://www.ssm-einfo.my. e- Info is an internet based service to provide search and purchase of company and business information online.

Companies can be searched by legal name and registration number. Search results provide registration number and entity type. 

Company profile, particular of registered address, certificates of incorporation/registration, particular of directors/officers can be purchased for +15.00 MYR each).",https://www.ssm-einfo.my/member/index.php?id=uni,True,MY,,,,,open_license,False,,,,primary,2017-11-09,ProZorro Business Register Research,Companies Commission of Malaysia,Suruhanjaya Syarikat Malaysia (SSM),85,,,,,,,,,,,10,,75,,,,,company,,http://www.ssm.com.my/ms
IL-RA,"In Israel, charitable organisations may take two forms:

* Companies registered for public benefit (which are in the Register of Companies - IL-ROC)
* Charities registered with the register of charities (Rasham Ha'amutot) which are contained within this list (IL-RA)

Rasham Ha'amutot registration numbers begin with '58'. ",,True,"580197770, 580166452",Names may need to be translated into Hebrew before searching. Enter organisation names in to the 'Name of Amuta' search box. The results will provide the name and number of the organisation. ,he,A search service is available.,https://ica.justice.gov.il/Request/OpenRequest?rt=ExposeDocumentsAssociation,True,IL,bulk,Bulk data is available from https://data.gov.il/dataset/moj-amutot ,"registered_address, industry_classifications, date_of_registration, registration_number, activities_sector_code, financial_turnover_details",,open_license,False,,,,primary,2018-07-24,Desk research,Israel Charity Registry,Rasham Ha'amutot ,87,,2,,,,,,,,,10,,75,,,,,charity,,http://www.justice.gov.il/Units/RasutHataagidim/apps/Pages/RashamAmutot.aspx
GT-CISP,"The Ministry of Finance of Guatemala provide a classification of all public institutions in receipt of budget allocations. This can be used to provide organisation identifiers for public sector entities, including central and local government, and public enterprises. 
",,True,"21100078, 11120002, 12100102","The ""Manual de Clasificaciones Presupuestarias para el Sector Público de Guatemala"" contains a table labelled 'Clasificador del Sector Público"" which consists of five numeric columns, and then the agency name. 

The numbers should be concatenated to produce an identifier. ",es,"The identifiers can be constructed using the latest edition of the ""Manual de Clasificaciones Presupuestarias para el Sector Público de Guatemala"". ",http://www.minfin.gob.gt/images/downloads/leyes_manuales/manuales_dtp/clasificaciones_presup_sector_publico.pdf,True,GT,pdf,,,,no_license,False,,,,secondary,2018-09-24,https://github.com/org-id/register/issues/268,Public Sector Institution Classifications (Guetmala),Clasificador Institucional del Sector Público (Guetmala),56,,,,,,1,,,,5,,,,50,,,,government_agency,,http://www.minfin.gob.gt/
US-DOS,This code was present in the IATI Organization Registration Agency codelist. It should no longer be used. ,,False,,,,,,True,US,,,,,,True,,,,,,,Corporation registration is the responsibility of each state (see link),,0,,,,,,,,,,,,,,,,,,,,http://www.companieshouse.gov.uk/links/usaLink.shtml
BW-CIPA,"The Companies and Intellectual Property Authority (CIPA) is the official register of businesses in Botwana under the Companies Act (CAP 42:01), which provides for the incorporation of companies and the Registration of Business Names Act (CAP 42:05), which provides for registration of business names and post registration notices such as change of ownership and cessation of businesses.

Both domestic and foreign companies may be registered with the Registrar of Companies. 

[1]: http://www.cipa.co.bw/
[2]: http://www.gov.bw/en/Business/Sub-audiences/Small--Medium-Businesses/Company--Business-Name-Registration/",,True,,Use the search at http://www.mtinamesearch.gov.bw/search/ or ask organizations for their company registration number. ,en,A name search is available at http://www.mtinamesearch.gov.bw/search/ but was not working when last tested.,,True,BW,data_not_available,,,Access to the company name search is only possible following a disclaimer. ,closed_license,False,,,,primary,2017-08-05,IATI,Companies and Intellectual Property Authority (Botswana),,75,,,,,,,,,0,,,,75,,,,,company,,http://www.cipa.co.bw/
EE-KMKR,"""Central Commercial Register is an online service based on the central database of Estonian registration department of the court. The central database includes digital data from the commercial register, the commercial pledge register, the register of state agencies and local government institutions, the register of non-profit associations and foundations. ""[1]

Records contain information about the legal entity including e.g. annual reports, address, registration status, tax debt information and legal form. It also includes a Registry Code (""Registrikood"").

[1] http://www.rik.ee/en/e-business-register",,True,"10345833, 80352598, 70003684","Use the 8-digit Registry Co""""(Registrikood"") that appears on organisation records. Take care not to use the ""Number of old business register"" if that appears.","et, en","To find a company enter its name, registry code or VAT number.

Search results provide company details, and there is a hyperlink on the company's name to click on. There are English and Estonian language interfaces, search is free of charge. Paid users can get more advanced info.",https://ariregister.rik.ee/index?lang=eng,True,EE,"bulk, csv, xml","Visit https://opendata.riik.ee/en/dataset/http-avaandmed-rik-ee-andmed-ariregister on the Estonian Open Data Portal for a bulk download. This appears to be a complete list of the e-Äriregistri business registry including registration numbers. Update status is ""once a week"". ",,http://creativecommons.org/licenses/by-sa/3.0/,open_license,False,,,,primary,2017-11-08,ProZorro Business Register Research,e-Business Register (Estonia),E-äriregister,89,,2,1,,,,,1,,,10,,75,,,,,"company, charity, government_agency, trust",,http://www.rik.ee/en/e-business-register
IL-ROC,"The Register of Companies is maintained by the Israeli Corporations Authority and can be searched using part or all of a company name in English or Hebrew, or by entering the company number. The search interface and the results are in Hebrew. 

Free information on a company includes type of company, address, legal status and purpose of the company. 

Additional information such as details of directors, total authorized capital, division of share capital, shareholders, charges and liabilities is priced.",,True,510230055,Registration number will be under `מספר` header.,he,"Companies can be searched by their number or legal name. Information provided includes total debts, status of a lawbreaking society, company status, type of corporation, name (English and Hebrew), and company number. Their is no English interface, search is free of charge.",http://havarot.justice.gov.il/,True,IL,data_not_available,,,http://www.justice.gov.il/Pages/TermsConditions.aspx seems to be a 'Fair use' license,closed_license,False,,,,primary,2017-11-08,ProZorro Business Register Research,Registrar of Companies (Israel),רשות תאגידים,75,,,,,,,,,0,,,,75,,,,,company,,http://www.justice.gov.il/Units/RasutHataagidim/units/RashamHachvarot/Pages/default.aspx
